A059,APC_STATUS_BCM
A060,APC_STATUS_USM
A070,BCM_APV_CODE
E14F,CAN_BCM
E140,CAN_ECM
E151,CAN_ESCL
E14E,CAN_METER
E15B,CAN_USM
E148,CAN_VDC
A033,DONGLE
A046,EEPROM
A052,ESCL_FUNCTION
A056,ESCL_HFM_RELAY
A058,ESCL_LOCK_SEQUENCE
A051,ESCL_MODULE
A054,ESCL_SENSOR_LINE
A050,ESCL_SUPPLY
A057,ESCL_UNLOCK_SEQUENCE
A086,IKEY_BACKDOOR_SWITCH
A081,IKEY_FL_SWITCH
A083,IKEY_FR_SWITCH
A084,IKEY_RL_SWITCH
A085,IKEY_RR_SWITCH
A03C,INT_ANTENNA
A090,KAZASHI
A03E,LEFT_ANTENNA
A041,LF3_ANTENNA
A053,NOT_APC_LINE
A010,PWR_ECU
A040,REAR_ANTENNA
A002,REGISTERS
A03F,RIGHT_ANTENNA
A001,ROM
A080,START_BUTTON
A03D,TRUNK_ANTENNA
